regime,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,brier_mean,brier_std
Unseen Genome,Baseline: Antibiotic Majority,0.7140435173248955,0.0595437853862639,0.7217159262031785,0.05781540076788251,0.7062415393552424,0.06489247103260135,0.7217159262031785,0.0578154007678825,0.6613146138944719,0.11921565738625318,0.6959386547418256,0.048537064359134706,0.7474931976645315,0.12725723252891238,0.2859564826751045,0.0595437853862639
Unseen Genome,Baseline: Genome+Antibiotic Majority,0.44077503027462017,0.05402837662189976,0.5,0.0,0.23858407079646016,0.3267042821794066,0.5,0.0,0.4992070002734482,0.08545627957268653,0.4,0.5477225575051662,0.6,0.5477225575051662,0.5592249697253798,0.05402837662189974
Unseen Genome,Baseline: Overall Majority,0.44077503027462017,0.05402837662189976,0.5,0.0,0.23858407079646016,0.3267042821794066,0.5,0.0,0.4992070002734482,0.08545627957268653,0.4,0.5477225575051662,0.6,0.5477225575051662,0.5592249697253798,0.05402837662189974
Unseen Genome,Baseline: Species Majority,0.6765420524239227,0.06269104615344223,0.6728671947491789,0.0472170691010766,0.6900611798102618,0.08625303094757912,0.6728671947491789,0.047217069101076634,0.6095253281120805,0.1023186934891805,0.74851224600687,0.11781498741014566,0.5972221434914877,0.1180713947746244,0.32345794757607715,0.06269104615344226
Unseen Genome,Baseline: Species+Antibiotic Majority,0.8476502988397984,0.0753608848054156,0.8525559646670571,0.06393144176874299,0.8518958394824601,0.07522285833739838,0.8525559646670571,0.063931441768743,0.7810289469778724,0.12109018027373157,0.9071976482087054,0.049931227992389825,0.7979142811254085,0.13545498934022768,0.15234970116020158,0.07536088480541561
Unseen Species-Antibiotic,Baseline: Antibiotic Majority,0.39168543729283406,0.09127554551669832,0.4483216987068122,0.04455112293736931,0.43048088124159956,0.15399180268527607,0.4483216987068122,0.04455112293736931,0.4797091017633033,0.12290170510630584,0.5614729355200898,0.3353357405185887,0.33517046189353467,0.3194631023797301,0.6083145627071659,0.09127554551669828
Unseen Species-Antibiotic,Baseline: Genome+Antibiotic Majority,0.4153588663764355,0.07951115660753823,0.5,0.0,0.3576304725587073,0.3334620865489228,0.5,0.0,0.49926289619241493,0.1235981259926386,0.6,0.5477225575051661,0.4,0.5477225575051661,0.5846411336235645,0.0795111566075382
Unseen Species-Antibiotic,Baseline: Overall Majority,0.4153588663764355,0.07951115660753823,0.5,0.0,0.3576304725587073,0.3334620865489228,0.5,0.0,0.49926289619241493,0.1235981259926386,0.6,0.5477225575051661,0.4,0.5477225575051661,0.5846411336235645,0.0795111566075382
Unseen Species-Antibiotic,Baseline: Species Majority,0.6039863011865336,0.0540651238595395,0.6432329440450173,0.00834495511349186,0.5903094743763952,0.048942702869786116,0.6432329440450173,0.008344955113491875,0.5897242522502351,0.12641313036691793,0.6123472462142078,0.20984613911532526,0.6741186418758269,0.21109849397145097,0.3960136988134664,0.05406512385953946
Unseen Species-Antibiotic,Baseline: Species+Antibiotic Majority,0.4153588663764355,0.07951115660753823,0.5,0.0,0.3576304725587073,0.3334620865489228,0.5,0.0,0.49926289619241493,0.1235981259926386,0.6,0.5477225575051661,0.4,0.5477225575051661,0.5846411336235645,0.0795111566075382
