regime,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,brier_mean,brier_std
Unseen Species-Antibiotic,Baseline: Genome+Antibiotic Majority,0.4153588663764355,0.07951115660753823,0.5,0.0,0.3576304725587073,0.3334620865489228,0.5,0.0,0.49926289619241493,0.1235981259926386,0.6,0.5477225575051661,0.4,0.5477225575051661,0.5846411336235645,0.0795111566075382
Unseen Species-Antibiotic,Baseline: Overall Majority,0.4153588663764355,0.07951115660753823,0.5,0.0,0.3576304725587073,0.3334620865489228,0.5,0.0,0.49926289619241493,0.1235981259926386,0.6,0.5477225575051661,0.4,0.5477225575051661,0.5846411336235645,0.0795111566075382
Unseen Species-Antibiotic,Baseline: Species Majority,0.6039863011865336,0.0540651238595395,0.6432329440450173,0.00834495511349186,0.5903094743763952,0.048942702869786116,0.6432329440450173,0.008344955113491875,0.5897242522502351,0.12641313036691793,0.6123472462142078,0.20984613911532526,0.6741186418758269,0.21109849397145097,0.3960136988134664,0.05406512385953946
Unseen Species-Antibiotic,Baseline: Species+Antibiotic Majority,0.4153588663764355,0.07951115660753823,0.5,0.0,0.3576304725587073,0.3334620865489228,0.5,0.0,0.49926289619241493,0.1235981259926386,0.6,0.5477225575051661,0.4,0.5477225575051661,0.5846411336235645,0.0795111566075382
Unseen Species-Antibiotic,Gradient Boosting,0.627994953868279,0.01856853794433623,0.6364553776654087,0.023654543956422587,0.5949803738051821,0.0651592006874851,0.7119802337754016,0.07212953676820748,0.724796627351448,0.014553962044726938,0.5818911673840201,0.15260884944691938,0.6910195879467972,0.16181705110969807,0.24062995206627874,0.015557166849469171
Unseen Species-Antibiotic,Logistic Regression,0.6654125522843051,0.07683426594708993,0.6683915940903951,0.08693619585948734,0.6480788249501894,0.06038132346362496,0.7250727238632831,0.10178786125482797,0.7262549165546022,0.04354706908557043,0.6388137091664549,0.15044926485366877,0.6979694790143353,0.18120206357745938,0.23378323739317858,0.0442145760601797
Unseen Species-Antibiotic,Random Forest,0.6490990804762339,0.02958996784845021,0.666658243914389,0.0339454543156708,0.6366072098907755,0.0564532149692297,0.7238589484305092,0.058228639750399554,0.7463221630120518,0.04296222208456604,0.6436457722569074,0.11964157083586234,0.6896707155718705,0.13216866989082687,0.22727656851710715,0.025223683426236043
Unseen Species-Antibiotic,XGBoost,0.686616550776723,0.03047756028412408,0.6967805269557577,0.0390273686435209,0.6674669261318857,0.04916937130096285,0.6989112712258749,0.04100372743628687,0.6905806208117389,0.126613736833927,0.6552069786436608,0.10282311834818555,0.7383540752678545,0.07395546896690794,0.2665454089641571,0.036447282281932156
Unseen Genome,Baseline: Antibiotic Majority,0.7140435173248955,0.0595437853862639,0.7217159262031785,0.05781540076788251,0.7062415393552424,0.06489247103260135,0.7217159262031785,0.0578154007678825,0.6613146138944719,0.11921565738625318,0.6959386547418256,0.048537064359134706,0.7474931976645315,0.12725723252891238,0.2859564826751045,0.0595437853862639
Unseen Genome,Baseline: Genome+Antibiotic Majority,0.44077503027462017,0.05402837662189976,0.5,0.0,0.23858407079646016,0.3267042821794066,0.5,0.0,0.4992070002734482,0.08545627957268653,0.4,0.5477225575051662,0.6,0.5477225575051662,0.5592249697253798,0.05402837662189974
